mass_A
t	x	y
0,000	3,572E−3	0,408
0,033	5,467E−3	0,407
0,067	1,079E−2	0,405
0,100	1,784E−2	0,401
0,133	2,804E−2	0,396
0,167	4,183E−2	0,390
0,200	5,904E−2	0,383
0,233	7,859E−2	0,374
0,267	0,102	0,364
0,300	0,128	0,353
0,333	0,157	0,343
0,367	0,189	0,334
0,400	0,223	0,329
0,433	0,258	0,330
0,467	0,293	0,334
0,500	0,324	0,340
0,533	0,356	0,345
0,567	0,385	0,348
0,600	0,415	0,347
0,633	0,446	0,344
0,667	0,477	0,336
0,700	0,508	0,326
0,733	0,542	0,315
0,767	0,578	0,303
0,800	0,617	0,294
0,833	0,659	0,289
0,867	0,701	0,287
0,900	0,743	0,288
0,933	0,784	0,291
0,967	0,826	0,288
1,000	0,867	0,287
1,033	0,909	0,285
1,067	0,950	0,282
1,100	0,994	0,279
1,133	1,036	0,276
1,167	1,079	0,275
1,200	1,123	0,276
1,233	1,165	0,278
1,267	1,207	0,283
1,300	1,247	0,289
1,333	1,285	0,298
1,367	1,320	0,306
1,400	1,355	0,314
1,433	1,386	0,321
